"property name","property city","property state","zip code","property type","property subtype","year built","total units","occupancy %","monthly rent per unit","uw noi","most recent noi","appraised value","latitude","longitude","gross_rent_median","household_income_median","housing_units_occupancy_status_total_count","housing_units_occupied_count","state_name","cap_rate","cap_rate_rank_state","median_rent","rent_perc_diff","rent_affordability_ratio","rent_affordability_percentile","State Occupancy Rate"
"Wooddale Village Retirement Community","Sun City","AZ","85373","Multifamily","Independent Living","1984",172,"0.936","2983","2013944.92","2041838.99","29800000","33.65274","-112.27894","1431","76872",3142443,2796790,"Arizona","0.06851808691275167785","1","1534.0182556619718310","0.94456616731249523085","0.46565719637839525445","0.9571428571428572","0.89000500565960941853"
"El Encanto Apartments","Yuma","AZ","85364","Multifamily","Garden","1985",283,"0.946996466","1063.73","2338143.71","2372102.05","40800000","32.6792","-114.62877","1431","76872",3142443,2796790,"Arizona","0.05813975612745098039","2","1534.0182556619718310","-0.30657278942161563798","0.16605213862004370902","0.24285714285714285","0.89000500565960941853"
"Sunset Sound Studio Apartments","Phoenix","AZ","85006","Multifamily","Garden","1974",237,"0.928","944.95","1502183.53","1464121.64","25500000","33.45127","-112.03136","1431","76872",3142443,2796790,"Arizona","0.05741653490196078431","3","1534.0182556619718310","-0.38400341944286209575","0.14751014673743365595","0.12857142857142856","0.89000500565960941853"
"Sedona Springs","Tucson","AZ","85711","Multifamily","Garden","1973",408,"0.975","772.636152","2878742.75","2887651.41","51200000","32.22592","-110.85804","1431","76872",3142443,2796790,"Arizona","0.05639944160156250000","4","1534.0182556619718310","-0.49633184015363241814","0.12061132563221979394","0.02857142857142857","0.89000500565960941853"
"Woodlands Village Apartments","Flagstaff","AZ","86001","Multifamily","Student","1987",228,"0.974","1425","2693094","2685558","47700000","35.18413","-111.66503","1431","76872",3142443,2796790,"Arizona","0.05630100628930817610","5","1534.0182556619718310","-0.07106711752587807443","0.22244770527630346550","0.5857142857142857","0.89000500565960941853"
"Sanctuary On 22nd","Phoenix","AZ","85021","Multifamily","Garden","1985",266,"0.88","1279.59","2761494.54","3088017.19","55500000","33.56098","-112.10585","1431","76872",3142443,2796790,"Arizona","0.05563994936936936937","6","1534.0182556619718310","-0.16585738450171110545","0.19974867311895098345","0.4","0.89000500565960941853"
"Clearwater Agritopia","Gilbert","AZ","85296","Multifamily","Assisted Living","2014",118,"0.983","5815","2480514.13","2452457","44300000","33.32329","-111.72967","1431","76872",3142443,2796790,"Arizona","0.05536020316027088036","7","1534.0182556619718310","2.7906980432189607","0.90774274118014361536","0.9857142857142858","0.89000500565960941853"
"Port Royale","Sierra Vista","AZ","85635","Multifamily","Garden","2004",252,"0.917","1216.3","2632918.5","2639629.72","49000000","31.56851","-110.24891","1431","76872",3142443,2796790,"Arizona","0.05386999428571428571","8","1534.0182556619718310","-0.20711504213805298381","0.18986887293162660006","0.32857142857142857","0.89000500565960941853"
"Enclave On Bethany","Glendale","AZ","85303","Multifamily","Garden","1974",120,"0.917","1505.65","1411000.25","1347329","25150000","33.52387","-112.20599","1431","76872",3142443,2796790,"Arizona","0.05357172962226640159","9","1534.0182556619718310","-0.01849277579146548967","0.23503746487667811427","0.6714285714285714","0.89000500565960941853"
"Park Villas","Glendale","AZ","85301","Multifamily","Garden","1965",205,"0.898","1295.92","2336793.38","2428504.31","45700000","33.53341","-112.19888","1431","76872",3142443,2796790,"Arizona","0.05314013807439824945","10","1534.0182556619718310","-0.15521213960991993980","0.20229784576959100843","0.42857142857142855","0.89000500565960941853"
"Pine View Village Apartments","Flagstaff","AZ","86001","Multifamily","Student","1982",264,"0.966","1098","2136431.28","1999736","37700000","35.19421","-111.6605","1431","76872",3142443,2796790,"Arizona","0.05304339522546419098","11","1534.0182556619718310","-0.28423276845151868472","0.17140181080237277552","0.2714285714285714","0.89000500565960941853"
"Park At Palm Valley","Glendale","AZ","85307","Multifamily","Garden","1982",300,"0.863","1313.03","3629160.35","3720834.67","70900000","33.53369","-112.34234","1431","76872",3142443,2796790,"Arizona","0.05248003765867418900","12","1534.0182556619718310","-0.14405842619298504426","0.20496877926943490478","0.44285714285714284","0.89000500565960941853"
"Tides On Chandler","Chandler","AZ","85225","Multifamily","Garden","1984",248,"0.923","1408.9","3308233.48","3405774.3","65200000","33.33616","-111.85384","1431","76872",3142443,2796790,"Arizona","0.05223580214723926380","13","1534.0182556619718310","-0.08156242939102429409","0.21993443646581330003","0.5714285714285714","0.89000500565960941853"
"Juniper Canyon","Tucson","AZ","85705","Multifamily","Garden","1985",140,"0.921","978","1076973.25","1019635.44","19800000","32.26294","-110.99511","1431","76872",3142443,2796790,"Arizona","0.05149673939393939394","14","1534.0182556619718310","-0.36245869539670789951","0.15266937246331564159","0.15714285714285714","0.89000500565960941853"
"Ovation At Tempe","Tempe","AZ","85282","Multifamily","Garden","1983",270,"0.93","1601.55","3462894.51","3431058.03","67000000","33.38501","-111.95221","1431","76872",3142443,2796790,"Arizona","0.05120982134328358209","15","1534.0182556619718310","0.04402277749223155782","0.25000780518264127381","0.7857142857142857","0.89000500565960941853"
"Highland Village Apartments","Flagstaff","AZ","86001","Multifamily","Student","1997",600,"0.982","825","3775899.11","3688571","72100000","35.17836","-111.67093","1431","76872",3142443,2796790,"Arizona","0.05115909847434119279","16","1534.0182556619718310","-0.46219675225182414836","0.12878551358101779582","0.07142857142857142","0.89000500565960941853"
"Verrano Park","Tucson","AZ","85730","Multifamily","Garden","1980",92,"0.924","782.98","617418.38","615955.92","12100000","32.19185","-110.84716","1431","76872",3142443,2796790,"Arizona","0.05090544793388429752","17","1534.0182556619718310","-0.48958886433713123840","0.12222603808929128942","0.04285714285714286","0.89000500565960941853"
"Peoria Grand Apartment Homes","Peoria","AZ","85345","Multifamily","Garden","1985",144,"0.924","1443","1700072.16","1554296.93","30600000","33.58104","-112.24307","1431","76872",3142443,2796790,"Arizona","0.05079401732026143791","18","1534.0182556619718310","-0.05933322848409969222","0.22525757102716203559","0.6142857142857143","0.89000500565960941853"
"Clearwater Pinnacle Peak","Scottsdale","AZ","85255","Multifamily","Assisted Living","2019",110,"0.909","6998.36","3162329.65","3172488","62700000","33.7014","-111.92291","1431","76872",3142443,2796790,"Arizona","0.05059789473684210526","19","1534.0182556619718310","3.5621099841344533","1.0924695597876990","1","0.89000500565960941853"
"Morada West","Phoenix","AZ","85035","Multifamily","Garden","1998",428,"0.932","1581","5643889.05","5582127.38","111000000","33.46584","-112.19166","1431","76872",3142443,2796790,"Arizona","0.05028943585585585586","20","1534.0182556619718310","0.03062658750286790478","0.24679987511707773962","0.7428571428571429","0.89000500565960941853"
"Envii Apartments","Tucson","AZ","85718","Multifamily","Garden","1983",424,"0.925","1382","4847140","4811099.02","95700000",NULL,NULL,"1431","76872",3142443,2796790,"Arizona","0.05027271703239289446","21","1534.0182556619718310","-0.09909807468123754307","0.21573524820480799251","0.5428571428571428","0.89000500565960941853"
"Ninety Degrees","Phoenix","AZ","85054","Multifamily","Garden","2009",337,"0.941","1716.86","4993558.13","4885492.81","97500000","33.65339","-111.93423","1431","76872",3142443,2796790,"Arizona","0.05010761856410256410","22","1534.0182556619718310","0.11919137445931296079","0.26800811738994692476","0.8571428571428571","0.89000500565960941853"
"Lunaire Apartments","Goodyear","AZ","85338","Multifamily","Garden","2008",240,"0.9375","1578","3405159.58","3464909.52","69200000","33.43825","-112.38819","1431","76872",3142443,2796790,"Arizona","0.05007094682080924855","23","1534.0182556619718310","0.02867093932923817442","0.24633156415860131127","0.7285714285714285","0.89000500565960941853"
"Liv Avenida","Chandler","AZ","85248","Multifamily","Garden","2014",322,"0.938","1899.72","4831567.51","4855527.77","97300000","33.25855","-111.8415","1431","76872",3142443,2796790,"Arizona","0.04990264922918807811","24","1534.0182556619718310","0.23839464946929045925","0.29655323134561348736","0.8857142857142857","0.89000500565960941853"
"Mesa Station","Mesa","AZ","85203","Multifamily","Garden","1984",397,"0.935","1254.28","4032303.88","4061093.24","81800000","33.41705","-111.78812","1431","76872",3142443,2796790,"Arizona","0.04964661662591687042","25","1534.0182556619718310","-0.18235653625990059733","0.19579768966593818295","0.37142857142857144","0.89000500565960941853"
"Sienna Ridge","Tucson","AZ","85711","Multifamily","Garden","1975",305,"0.904918033","792.67","1991257.91","1943553.24","39300000","32.20699","-110.87825","1431","76872",3142443,2796790,"Arizona","0.04945428091603053435","26","1534.0182556619718310","-0.48327212073630720931","0.12373868248517015298","0.05714285714285714","0.89000500565960941853"
"The Catherine Townhomes At Scottsdale","Scottsdale","AZ","85255","Multifamily","Townhome","1998",539,"0.913","2075","8734307.43","8909995","180500000","33.64134","-111.92788","1431","76872",3142443,2796790,"Arizona","0.04936285318559556787","27","1534.0182556619718310","0.35265665342723017231","0.32391507961286294099","0.9285714285714286","0.89000500565960941853"
"Modena Apartments","Phoenix","AZ","85008","Multifamily","Garden","1987",768,"0.931","1504","10447641.84","10090082.3","204600000","33.45735","-111.96967","1431","76872",3142443,2796790,"Arizona","0.04931614027370478983","28","1534.0182556619718310","-0.01956838228696184137","0.23477989384951607868","0.6571428571428571","0.89000500565960941853"
"Verde Vista Apartments","Cottonwood","AZ","86326","Multifamily","Garden","1998",72,"0.972","885","450176.18","448938","9200000","34.7215","-112.00765","1431","76872",3142443,2796790,"Arizona","0.04879760869565217391","29","1534.0182556619718310","-0.42308378877922954096","0.13815173275054636278","0.1","0.89000500565960941853"
"Country Gables Apartments","Glendale","AZ","85306","Multifamily","Garden","1983",139,"0.935","1286.42","1547065.95","1398442","28900000","33.62089","-112.18583","1431","76872",3142443,2796790,"Arizona","0.04838899653979238754","30","1534.0182556619718310","-0.16140502549308075264","0.20081486106774898533","0.4142857142857143","0.89000500565960941853"
"The Curve At Melrose","Phoenix","AZ","85013","Multifamily","Mid Rise","2018",204,"0.951","1624.17","3043947.71","3069990","64000000","33.49884","-112.08237","1431","76872",3142443,2796790,"Arizona","0.04796859375000000000","31","1534.0182556619718310","0.05876836472139972480","0.25353886980955354355","0.8285714285714286","0.89000500565960941853"
"The Flin","Tucson","AZ","85701","Multifamily","Mid Rise","2021",245,"0.992","1992.19","4632858","4610077.67","96500000","32.22098","-110.97253","1431","76872",3142443,2796790,"Arizona","0.04777282559585492228","32","1534.0182556619718310","0.29867424500780418168","0.31098813612238526382","0.9142857142857143","0.89000500565960941853"
"The U At Park","Tucson","AZ","85719","Multifamily","Student","1971",218,"0.991","591","973112.85","746398.6","15700000","32.24322","-110.95691","1431","76872",3142443,2796790,"Arizona","0.04754131210191082803","33","1534.0182556619718310","-0.61473730979494311719","0.09225725881985638464","0","0.89000500565960941853"
"The Joshua","Mesa","AZ","85210","Multifamily","Garden","1985",276,"0.931","1583.59","3744568.7","3553945.49","75000000","33.38364","-111.84861","1431","76872",3142443,2796790,"Arizona","0.04738593986666666667","34","1534.0182556619718310","0.03231496375943490534","0.24720418357789572276","0.7714285714285715","0.89000500565960941853"
"Solaire On Scottsdale","Tempe","AZ","85288","Multifamily","Garden","1963",124,"0.96","1515","1405725.52","1338629.01","28300000","33.45024","-111.92732","1431","76872",3142443,2796790,"Arizona","0.04730137844522968198","35","1534.0182556619718310","-0.01239767231698616335","0.23649703403059631595","0.6857142857142857","0.89000500565960941853"
"Bayside Apartments","Phoenix","AZ","85027","Multifamily","Garden","1999",176,"0.92","1620","2378246.88","2172899.65","46000000","33.67062","-112.12859","1431","76872",3142443,2796790,"Arizona","0.04723694891304347826","36","1534.0182556619718310","0.05605001376005439959","0.25288791757727130815","0.8","0.89000500565960941853"
